,Headlines,date
0,Coronavirus Briefing: What Happened Today,March 12
1,A Last-Minute Add to Stimulus Bill Could Restrict State Tax Cuts,March 12
2,Biden’s Goals Are Clear. Now He Has to Achieve Them.,March 12
3,Biden Takes First Tentative Steps to Address Global Vaccine Shortage,March 12
4,Why Al Franken Hovers Over the Debate About Cuomo’s Future,March 12
5,"‘You Can’t Bathe. You Can’t Wash.’ Water Crisis Hobbles Jackson, Miss., for Weeks",March 12
6,A survey of Republicans shows 5 factions have emerged after Trump’s presidency.,March 12
7,George Floyd’s Family Settles Suit Against Minneapolis for $27 Million,March 12
8,Jaime Herrera Beutler Is Undaunted,March 12
9,"The U.S. will partner with Japan, India and Australia to expand global vaccine supply.",March 12
10,"With a Rose Garden celebration, Biden takes a victory lap.",March 12
11,Colorado Braces for a Major Snowstorm This Weekend,March 12
12,A Mansion Sale Built on the Myth of a Notorious Cow,March 12
13,What to Know Now About the Newsom Recall Effort,March 12
14,"In Nevada, Unemployed Workers Wait for Aid That Will Still Not Be Enough",March 12
15,Oregon Man Is Charged With Two Murders Committed Two Decades Apart,March 11
16,How can you get a vaccine? Biden expands ways to find the shots and the army of people to administer them.,March 11
17,Here’s a fact-check of Biden’s first prime-time White House address.,March 11
18,Biden Tells Nation There Is Hope After a Devastating Year,March 11
19,Biden condemns ‘vicious’ hate crimes against Asian-Americans.,March 11
20,"In Lady Bird Johnson’s Secret Diaries, a Despairing President and a Crucial Spouse",March 11
21,"With Humor and Biblical Authority, Beth Moore Captivates Evangelical Women",March 11
22,Congressional Aides Unite to Push for Change at the Capitol After the Riot,March 11
23,The Lessons of One of the Worst Years in American Life,March 11
24,Can Democrats Still Count on the Grass-Roots?,March 11
25,The Fight Is On to Define the Pandemic Aid Bill,March 11
26,Coronavirus Briefing: What Happened Today,March 11
27,"On First Day, Garland Vows to Restore Justice Dept. Independence",March 11
28,The U.S. Is Sitting on Tens of Millions of Vaccine Doses the World Needs,March 11
29,"Looking to rapidly boost the U.S. economy, Biden highlights ‘massive effort to reopen our schools safely.’",March 11
30,Georgetown Law Fires Professor for ‘Abhorrent’ Remarks About Black Students,March 11
31,The Pentagon condemns Tucker Carlson’s sexist remarks about women in the military.,March 11
32,Here’s how to watch Biden’s first prime-time speech.,March 11
33,Idaho Pulls Out of Powerball Because of Overseas Expansion,March 11
34,"L.A.P.D. Severely Mishandled George Floyd Protests, Report Finds",March 11
35,Man Sues Hertz Over Lost Receipt That Was His Murder Alibi,March 11
36,The embattled head of the federal student aid office has resigned.,March 11
37,House Passes Gun Control Bills to Strengthen Background Checks,March 11
38,This Black Family Ran a Thriving Beach Resort 100 Years Ago. They Want Their Land Back.,March 11
39,Some West Wing jobs these days are really far from the Oval Office.,March 11
